Feature,Importance
numeric__19-Aug,0.06009984770496991
numeric__14-Aug,0.05911673894757445
numeric__18-Aug,0.04659609366223386
numeric__04-Sep,0.04366837088489897
numeric__27-Aug,0.04279502816652779
numeric__17-Aug,0.04255007292306963
numeric__09-Aug,0.04219019061907873
numeric__10-Aug,0.03930649251680421
numeric__30-Aug,0.03463507202600587
numeric__29-Aug,0.03243417477967078
numeric__01-Sep,0.03066684577159478
numeric__08-Aug,0.028377778469995972
numeric__07-Sep,0.024979931471401894
numeric__09-Sep,0.021812471596554597
numeric__06-Sep,0.021130477072409365
numeric__21-Aug,0.02012761948878503
numeric__13-Aug,0.019490446305999862
numeric__20-Aug,0.018823106559367007
numeric__05-Sep,0.018547072400269045
numeric__02-Aug,0.018514777320202742
categorical__District_Average,0.018083822283709243
numeric__15-Aug,0.01788540838827513
categorical__Taluka_Jintur,0.017540460458441345
numeric__03-Sep,0.017075921713214554
numeric__25-Aug,0.0170054442270195
numeric__04-Aug,0.016604759910383262
numeric__02-Sep,0.01626768956148793
numeric__28-Aug,0.015027582753428362
numeric__03-Aug,0.014321746397212997
numeric__31-Aug,0.014313485446725262
numeric__12-Aug,0.013267761925117043
categorical__Circle_Parbhani,0.013173838620744758
categorical__District_Parbhani,0.01270392755389938
numeric__22-Aug,0.012086280940210388
numeric__10-Sep,0.011549682790383311
numeric__16-Aug,0.010263316911690214
categorical__Taluka_DISTRICT,0.00947611618303231
numeric__06-Aug,0.007858043224217837
numeric__01-Aug,0.00764762161373542
numeric__08-Sep,0.007056088701198907
numeric__07-Aug,0.006635498989008189
categorical__Circle_Wadgaon,0.0065480874276419715
categorical__Taluka_Gangakhed,0.006469729989192295
categorical__Circle_Jintur,0.00542223842791484
numeric__11-Aug,0.005040510125513978
numeric__26-Aug,0.0036594310863901293
numeric__05-Aug,0.002905795600513244
categorical__Taluka_Palam,0.002766720536298023
categorical__Taluka_Sonpeth,0.0027564996121966006
categorical__Circle_Singnapur,0.0026315314085302893
categorical__Circle_Pethshivani,0.001774292341025799
numeric__24-Aug,0.0017031721382366892
categorical__Circle_Bamani,0.0014489319687998102
categorical__Taluka_Purna,0.0014336475484608465
categorical__Circle_Gangakhed,0.0013124356237318102
categorical__Circle_Zari,0.0010978113914421345
categorical__Circle_Manwat,0.0009270886361814595
categorical__Taluka_Selu,0.0009002956365251783
categorical__Circle_Purna,0.0008641169387352447
categorical__Circle_Palam,0.0008443087846514367
categorical__Taluka_Parbhani,0.0007429460843075792
categorical__Circle_Mahatpuri,0.0007316827793181743
categorical__Taluka_Pathari,0.0006693634885807084
categorical__Taluka_Manvat,0.0005903348114464507
categorical__Circle_Charthana,0.0005574282092703122
categorical__Circle_Pimpaldari,0.0005338483883168562
categorical__Circle_Kanteshwar,0.0005217590019038374
categorical__Circle_Selu,0.0005092108979150841
categorical__Circle_Hadgaon,0.00031822300421589295
categorical__Circle_Chudawa,0.00029839816331052966
categorical__Circle_Pathari,0.0002239467821527756
categorical__Circle_Rani,0.00021526722692963846
categorical__Circle_Deulgaon,0.00021298395254674412
categorical__Circle_Chatori,0.00018091818825029547
categorical__Circle_Banwas,0.00017941194319966353
categorical__Circle_Babalgaon,0.00015824793289570858
categorical__Circle_Sangawi,0.00015071911410138386
categorical__Circle_Tadborgaon,0.00014970862356259308
categorical__Circle_Dudhgaon,0.00013379804419194152
categorical__Circle_Kawalgaon,0.00012257634448534894
categorical__Circle_Awalgaon,9.312327860724094e-05
categorical__Circle_Limala,9.007147927351351e-05
categorical__Circle_RavRajur,7.32095083838141e-05
categorical__Circle_Takli-kumbhkarn,4.612867987756632e-05
categorical__Circle_Waghi Dhanora,4.185762310878982e-05
categorical__Circle_Tadakalas,4.150656989706288e-05
categorical__Circle_Pingali,4.048459632026561e-05
categorical__Circle_Parbhani Gramin,2.8182640306365237e-05
categorical__Circle_Pedgaon,2.6490921616957675e-05
categorical__Circle_kasapuri,2.1865537874301883e-05
categorical__Circle_Kupta,2.0757471193517348e-05
categorical__Circle_Walur,1.9682819579530567e-05
categorical__Circle_Jamb,1.7711165016100116e-05
categorical__Circle_Sonpeth,1.4140034908931957e-05
categorical__Circle_Bori,1.0262190602833654e-05
numeric__23-Aug,0.0
categorical__Circle_Shelgaon,0.0
