Feature,Importance
numeric__14-Aug,0.2739606050456941
numeric__27-Aug,0.1329586264895643
numeric__18-Aug,0.13265323520535946
numeric__15-Aug,0.09964229608149586
numeric__07-Sep,0.07801104872423445
numeric__06-Sep,0.03028446187902458
numeric__01-Sep,0.02598073348146761
numeric__16-Aug,0.024940326937544874
numeric__02-Sep,0.023135460188080697
numeric__17-Aug,0.021112009903030027
numeric__10-Aug,0.01986583191416154
numeric__12-Aug,0.017921919363709914
numeric__09-Aug,0.01587261613860404
numeric__29-Aug,0.01576360395146063
numeric__08-Aug,0.012155432462665854
numeric__03-Sep,0.010730837922125784
numeric__19-Aug,0.009816069729444434
numeric__31-Aug,0.007962382108859484
numeric__28-Aug,0.0065375735713509115
numeric__21-Aug,0.005644265892975356
numeric__04-Sep,0.005447797648140628
numeric__07-Aug,0.005374077797760428
numeric__11-Aug,0.005120977811223574
numeric__08-Sep,0.003757072656406323
numeric__06-Aug,0.0034787991154848815
numeric__30-Aug,0.0032664312150019648
numeric__10-Sep,0.0019710394350718665
categorical__Taluka_Jintur,0.00137906080823799
numeric__26-Aug,0.0013594829965035576
numeric__03-Aug,0.0011425335103220123
categorical__Circle_Manwat,0.00047890265350269414
numeric__05-Sep,0.00047818553643406666
numeric__24-Aug,0.0004074013792239531
categorical__Taluka_Palam,0.00021681957076782708
categorical__Taluka_Sonpeth,0.0002141646357339088
categorical__Taluka_Manvat,0.00017883255062046673
categorical__Taluka_Gangakhed,0.0001592804297551897
numeric__02-Aug,0.00015711937083163132
categorical__Taluka_Selu,0.00014150215819736775
numeric__20-Aug,0.00013415197676595915
numeric__01-Aug,0.00012820192288982529
categorical__Taluka_Pathari,5.222697767098405e-05
categorical__Taluka_Parbhani,3.35867925353796e-06
numeric__05-Aug,3.2421733454968092e-06
numeric__23-Aug,0.0
numeric__04-Aug,0.0
numeric__22-Aug,0.0
numeric__25-Aug,0.0
numeric__13-Aug,0.0
categorical__District_Parbhani,0.0
categorical__District_Average,0.0
categorical__Taluka_DISTRICT,0.0
categorical__Taluka_Purna,0.0
categorical__Circle_Awalgaon,0.0
categorical__Circle_Babalgaon,0.0
categorical__Circle_Bamani,0.0
categorical__Circle_Banwas,0.0
categorical__Circle_Bori,0.0
categorical__Circle_Charthana,0.0
categorical__Circle_Chatori,0.0
categorical__Circle_Chudawa,0.0
categorical__Circle_Deulgaon,0.0
categorical__Circle_Dudhgaon,0.0
categorical__Circle_Gangakhed,0.0
numeric__09-Sep,0.0
categorical__Circle_Hadgaon,0.0
categorical__Circle_Jamb,0.0
categorical__Circle_Kanteshwar,0.0
categorical__Circle_Jintur,0.0
categorical__Circle_Kawalgaon,0.0
categorical__Circle_Kupta,0.0
categorical__Circle_Limala,0.0
categorical__Circle_Mahatpuri,0.0
categorical__Circle_Palam,0.0
categorical__Circle_Parbhani,0.0
categorical__Circle_Parbhani Gramin,0.0
categorical__Circle_Pathari,0.0
categorical__Circle_Pedgaon,0.0
categorical__Circle_Pethshivani,0.0
categorical__Circle_Pimpaldari,0.0
categorical__Circle_Pingali,0.0
categorical__Circle_Purna,0.0
categorical__Circle_Rani,0.0
categorical__Circle_RavRajur,0.0
categorical__Circle_Sangawi,0.0
categorical__Circle_Selu,0.0
categorical__Circle_Shelgaon,0.0
categorical__Circle_Singnapur,0.0
categorical__Circle_Sonpeth,0.0
categorical__Circle_Tadakalas,0.0
categorical__Circle_Tadborgaon,0.0
categorical__Circle_Takli-kumbhkarn,0.0
categorical__Circle_Wadgaon,0.0
categorical__Circle_Waghi Dhanora,0.0
categorical__Circle_Walur,0.0
categorical__Circle_Zari,0.0
categorical__Circle_kasapuri,0.0
