S.No,District,Taluka,Circle,01-Aug,02-Aug,03-Aug,04-Aug,05-Aug,06-Aug,07-Aug,08-Aug,09-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,01-Sep,02-Sep,03-Sep,04-Sep,05-Sep,06-Sep,07-Sep,08-Sep,09-Sep,10-Sep,11-Sep
1,Parbhani,Parbhani,Parbhani,0,0,0,0,0,1.5,3,11.8,9.5,0.5,0,3.3,0,6.3,66,7.8,54.5,7.3,11.8,0,0,0,0,0,0,0,10,5.5,19.5,9.5,3,0,0.5,5,2.5,0,0.8,0,0,0,0,17
2,Parbhani,Parbhani,Pedgaon,0.8,0,0,0,0,0,2.5,20.3,7.8,1.5,0,0,0,7.8,41.3,7.5,33.3,6,12.8,0,0.8,0,0,1,0,0,5,9.3,20.5,8,1.8,0,0.3,6,4,0,2.3,0,0.5,0,0,15
3,Parbhani,Parbhani,Jamb,0,0,0,0,0,0,2.3,10.5,6,0.8,0,0.3,0,4.8,29.5,3,34.3,6.5,10.3,0,0,0,0,0,0,0,2.5,11,16.5,8.5,6.8,0,0.3,9.5,3.3,0,6.8,0,0,0,0,16
4,Parbhani,Parbhani,Zari,0,0,0,0,0,0.8,0,28.8,8.5,1.3,2.3,0,0,16,39,9.8,65.3,9.8,14.8,0,1.5,0,0,0,0,3.5,9,9.5,17.5,12.3,2.5,0,3,31.5,2,0.3,5,0,0,0,10.8,18
5,Parbhani,Parbhani,Singnapur,0,0,0,0,0,1.3,1.8,15,18.8,0,0,0,0,0,68.8,2,33.8,11.3,7.8,0,0,0,0,0,0,0,3.5,14.8,18.5,6.8,22.8,0,1.5,3.8,1.5,0,0.3,0,0,0,0,12
6,Parbhani,Parbhani,Daithana,0.3,0,0,0,0,1.3,0.8,26.5,6,0,0,1,0,0,52,1.8,33.8,33,8,0,0,0,0,0,0,0,3,15.8,23.8,4.5,14,0,1.8,5.5,0,0,3.8,0,0,0,0,13
7,Parbhani,Parbhani,Pingali,0,0,0,0,0,0.5,3.3,27.8,8.3,0,0,0.3,0,1.5,109.8,4.8,49.8,25.3,9.3,0,0,0,0,0,0,0,20.5,19.5,22.5,9.8,28.5,0,3.5,9.8,3.3,0,0,0,0,0,0,16
8,Parbhani,Parbhani,Parbhani Gramin,0,0,0,0,0,0.8,2.8,16.5,6,0.3,0.3,0,0,4.8,89.8,5.3,43.8,13,9.8,0,0,0,0,0,0,0,11,12.8,24.5,9.3,11.8,0,3.3,18.8,1.8,0.5,0.8,0,0,0,0,16
9,Parbhani,Parbhani,Takli-kumbhkarn,0.3,0,0,0,0,0.5,2.3,20.3,6.5,0.8,0,5.3,0.3,8.5,44,3.8,42.5,5.5,13.3,0,0.3,0,0,0.3,0,0,3.3,8,15.3,11.3,6.3,0,1.5,22,1.5,2.5,2.3,0,0,0,0,16
10,Parbhani,Parbhani,Parabhani,0.1,0,0,0,0,0.7,2.1,19.7,8.6,0.6,0.3,1.1,0,5.5,60,5.1,43.4,13.1,10.8,0,0.3,0,0,0.1,0,0.4,7.5,11.8,19.8,8.9,10.8,0,1.7,12.4,2.2,0.4,2.4,0,0.1,0,1.2,14
11,Parbhani,Gangakhed,Gangakhed,0,0,0,0,0,0,0.3,18.3,0.5,0,0,0,0,0,41.8,4.5,38,57.8,12.5,0.3,0,0,0,0,0,0,1.5,39.8,53.8,0.5,4.3,0,0,5,2,0,0,0,5.8,0,0,11
12,Parbhani,Gangakhed,Mahatpuri,0,0,0.8,0,0,0,0.8,19,1.5,0,0,0,0,0.3,33.8,40.5,31.5,35.5,8,0.3,0,0,0,0,0,0,1,19.5,77,5,2.5,0,0,1.5,0,0,0,0,0,0,0,10
13,Parbhani,Gangakhed,Makhani,1,0,1.5,0,0,0,3,13,0.8,0,0.5,1.3,0,0,41.5,13.3,23.8,90.8,9.3,0.3,0,0,0,0,0,0,2.5,37.3,56.3,0.3,0,0,0,13.3,3,0,0,2,0,0,0,12
14,Parbhani,Gangakhed,Rani,0,0,1.5,0,0,0.3,4.5,6,0.5,0,0,1.3,0,0.3,39.3,12.3,24.5,87.3,4.8,0,0,0,0,0,0,0,2,47.8,84.8,0,0,0,0,10,0,0,0,0,10.3,0,0,11
15,Parbhani,Gangakhed,Pimpaldari,0,0.3,4.3,0,0,0,4.8,13.8,0.5,0,2.8,2.8,0,0,40.3,13,22.8,95,7.8,0.5,0,0,0,0,0,0,2.5,66.3,86.5,0.8,0,2.3,0,5,2.3,0,0,0.3,5.3,0,0,15
